artist_name,song_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Billie Eilish,bad guy,96,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088
Billie Eilish,lovely (with Khalid),90,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,200186
Billie Eilish,when the party's over,90,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,196077
Billie Eilish,bury a friend,87,0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,193143
Billie Eilish,all the good girls go to hell,86,0.726,0.444,8,-8.922,0,0.372,0.283,0.143,0.177,0.569,185.044,168840
Billie Eilish,bad guy (with Justin Bieber),86,0.67,0.453,0,-11.265,1,0.295,0.252,0.33,0.117,0.68,135.055,194840
Billie Eilish,i love you,86,0.421,0.131,0,-18.435,1,0.0382,0.952,0.00453,0.109,0.12,137.446,291796
Billie Eilish,wish you were gay,86,0.853,0.351,7,-10.198,1,0.241,0.39,9.38e-06,0.752,0.282,118.028,221543
Billie Eilish,idontwannabeyouanymore,85,0.483,0.412,7,-8.461,1,0.0402,0.737,0.0,0.116,0.247,170.163,203569
Billie Eilish,you should see me in a crown,85,0.678,0.533,4,-10.485,1,0.186,0.462,0.219,0.139,0.323,150.455,180953
